EmployeeID,FirstName,LastName,Gender,Department,JobTitle,Salary,HireDate,PerformanceScore,ManagerID,Location,Email
1,Mitchell,Serrano,Male,IT,IT Support Specialist,80951.3,2021-04-22,Below Average,,Chicago,mitchell.serrano@example.com
2,Edward,Carlson,Male,Sales,Account Executive,65552.36,2013-07-20,Average,,Chicago,edward.carlson@example.com
3,Paul,Riley,Female,Marketing,Content Strategist,136135.7,2017-08-24,Good,,Chicago,paul.riley@example.com
4,Robert,Harris,Other,Marketing,SEO Specialist,116315.27,2013-11-24,Below Average,,Boston,robert.harris@example.com
5,Alicia,Arnold,Male,Engineering,Data Engineer,60335.28,2020-09-18,Poor,,New York,alicia.arnold@example.com
6,Desiree,Rivera,Female,Engineering,QA Engineer,100864.38,2022-12-28,Poor,,Seattle,desiree.rivera@example.com
7,Tonya,Duffy,Female,Marketing,SEO Specialist,61910.62,2016-05-11,Average,,Austin,tonya.duffy@example.com
8,Amy,Rodriguez,Female,Marketing,Content Strategist,147724.48,2013-08-07,Below Average,,Boston,amy.rodriguez@example.com
9,Breanna,Cordova,Male,Engineering,Data Engineer,51213.21,2023-09-25,Good,,Austin,breanna.cordova@example.com
10,Brian,Lam,Female,Finance,Payroll Specialist,144308.69,2014-04-11,Poor,,San Francisco,brian.lam@example.com
11,David,Parker,Male,Sales,Sales Representative,106161.14,2013-10-25,Excellent,,Austin,david.parker@example.com
12,Douglas,Sloan,Male,Engineering,Data Engineer,135641.94,2016-11-17,Below Average,,Chicago,douglas.sloan@example.com
13,Patricia,Hamilton,Other,Finance,Accountant,148801.77,2019-09-10,Good,,Seattle,patricia.hamilton@example.com
14,Christopher,Burns,Female,Engineering,DevOps Engineer,145328.03,2010-09-18,Below Average,,San Francisco,christopher.burns@example.com
15,William,Rodriguez,Other,Marketing,Marketing Manager,141699.39,2014-07-26,Poor,,Chicago,william.rodriguez@example.com
16,Christine,Sharp,Male,Finance,Accountant,117071.89,2012-07-23,Excellent,,New York,christine.sharp@example.com
17,Sheri,Lester,Other,HR,Recruiter,103753.47,2021-09-20,Poor,,New York,sheri.lester@example.com
18,Belinda,Edwards,Male,Finance,Payroll Specialist,143372.46,2023-11-03,Below Average,,Seattle,belinda.edwards@example.com
19,Kimberly,Perez,Male,Marketing,SEO Specialist,113978.74,2023-11-11,Average,,Seattle,kimberly.perez@example.com
20,Brittney,Juarez,Male,Engineering,QA Engineer,50352.69,2023-11-11,Average,,Chicago,brittney.juarez@example.com
21,Gregory,Wheeler,Female,Marketing,Marketing Manager,108713.34,2020-05-16,Excellent,,Austin,gregory.wheeler@example.com
22,Jessica,Proctor,Male,IT,Network Engineer,142424.49,2018-04-05,Excellent,,Chicago,jessica.proctor@example.com
23,Raymond,Massey,Other,Sales,Sales Representative,102868.76,2018-06-29,Poor,,Boston,raymond.massey@example.com
24,Robert,Duke,Female,Sales,Sales Representative,99761.37,2012-02-12,Good,,Austin,robert.duke@example.com
25,Michael,Martin,Other,Marketing,Content Strategist,145981.43,2011-05-06,Excellent,,Seattle,michael.martin@example.com
26,Robin,Haynes,Female,Sales,Sales Representative,92884.88,2010-09-02,Excellent,,New York,robin.haynes@example.com
27,David,Henderson,Female,Engineering,Software Engineer,81007.34,2011-04-20,Average,,New York,david.henderson@example.com
28,Yolanda,Rose,Female,Marketing,Content Strategist,127899.65,2020-02-12,Average,,Seattle,yolanda.rose@example.com
29,Julie,Eaton,Male,HR,HR Coordinator,113232.56,2016-01-09,Average,,Austin,julie.eaton@example.com
30,Sabrina,Delacruz,Female,Marketing,SEO Specialist,87247.73,2019-04-09,Good,,Austin,sabrina.delacruz@example.com
31,Derek,Castillo,Male,Marketing,Content Strategist,112128.96,2019-08-19,Poor,,New York,derek.castillo@example.com
32,Anthony,Diaz,Male,Marketing,SEO Specialist,103252.38,2022-10-25,Average,,San Francisco,anthony.diaz@example.com
33,Dustin,Farmer,Other,Marketing,Marketing Manager,134189.93,2011-03-10,Below Average,,New York,dustin.farmer@example.com
34,Diane,Austin,Male,IT,Network Engineer,50890.61,2014-01-03,Poor,,Seattle,diane.austin@example.com
35,Brenda,Mata,Male,Engineering,Data Engineer,126409.84,2020-03-06,Average,,Boston,brenda.mata@example.com
36,Tina,Hooper,Other,IT,IT Support Specialist,118158.94,2011-06-06,Below Average,,Austin,tina.hooper@example.com
37,Daniel,Estrada,Other,IT,System Administrator,127135.07,2011-05-16,Average,,Austin,daniel.estrada@example.com
38,Julie,Dean,Female,Finance,Financial Analyst,117938.98,2014-08-03,Below Average,,Boston,julie.dean@example.com
39,Emily,Thomas,Female,Sales,Sales Manager,98803.83,2010-10-30,Good,,Chicago,emily.thomas@example.com
40,Phillip,Harrington,Other,Finance,Payroll Specialist,53761.77,2018-01-27,Below Average,,Austin,phillip.harrington@example.com
41,Anna,Pearson,Female,Engineering,Data Engineer,129903.85,2017-06-24,Below Average,,Austin,anna.pearson@example.com
